product_family,product,version,release_train,servicing_option,editions,availability_date,mainstream_end_date,extended_end_date,extended_support_scope,enterprise_end_date,iot_extended_end_date,latest_update_label,latest_revision_date,latest_build,base_build,support_status_as_of_2026_03_20,notes
Windows Server,Windows Server 2025,2025,LTSC,Long-Term Servicing Channel (LTSC),"Datacenter, Standard",2024-11-01,2029-11-13,2034-11-14,"Datacenter, Standard",,,2026-03 B,2026-03-10,26100.32522,26100,supported,
Windows Server,Windows Server 2022,2022,LTSC,Long-Term Servicing Channel (LTSC),"Datacenter, Standard",2021-08-18,2026-10-13,2031-10-14,"Datacenter, Standard",,,2026-03 B,2026-03-10,20348.4893,20348,supported,
Windows Server,Windows Server 2019,1809,LTSC,Long-Term Servicing Channel (LTSC),"Datacenter, Standard",2018-11-13,,2029-01-09,"Datacenter, Standard",,,2026-03 B,2026-03-10,17763.8511,17763,extended-support,Mainstream support ended; extended support continues.
Windows Server,Windows Server 2016,1607,LTSB,Long-Term Servicing Branch (LTSB),"Datacenter, Essentials, Standard",2016-08-02,,2027-01-12,"Datacenter, Essentials, Standard",,,2026-03 B,2026-03-10,14393.8957,14393,extended-support,Mainstream support ended; extended support continues.
Windows 10,Windows 10,22H2,GA,General Availability Channel,"Enterprise, Education, IoT Enterprise, Enterprise multi-session",2022-10-18,,,,End of updates,,2026-03 B,2026-03-10,19045.7058,19045,ended,"Enterprise support ended. ESU exists as a paid program, but no fixed extended end date was provided in the source block."
Windows 10,Windows 10 Enterprise LTSC 2021,21H2,LTSC,Long-Term Servicing Channel (LTSC),Enterprise LTSC 2021,2021-11-16,2027-01-12,,,2027-01-12,2032-01-13,2026-03 B,2026-03-10,19044.7058,19044,supported,Enterprise LTSC 2021 has no extended support. IoT Enterprise only extends to 2032-01-13.
Windows 10,Windows 10 LTSC 2019,1809,LTSC,Long-Term Servicing Channel (LTSC),"Enterprise LTSC, IoT Enterprise LTSC",2018-11-13,,2029-01-09,"Enterprise LTSC, IoT Enterprise LTSC",End of updates,,2026-03 B,2026-03-10,17763.8511,17763,extended-support,Mainstream support ended; extended support continues.
Windows 10,Windows 10 LTSB 2016,1607,LTSB,Long-Term Servicing Branch (LTSB),Enterprise LTSB,2016-08-02,,2026-10-13,Enterprise LTSB,End of updates,,2026-03 B,2026-03-10,14393.8957,14393,extended-support,Mainstream support ended; extended support continues.
Windows 11,Windows 11,26H1,GA,General Availability Channel,"Enterprise, Education",2026-02-10,,2029-03-13,"Enterprise, Education",2029-03-13,,2026-03 B,2026-03-10,28000.1719,28000,supported,"IoT Enterprise is not supported on Windows 11, version 26H1."
Windows 11,Windows 11,25H2,GA,General Availability Channel,"Enterprise, Education, IoT Enterprise, Enterprise multi-session",2025-09-30,,2028-10-10,"Enterprise, Education, IoT Enterprise, Enterprise multi-session",2028-10-10,,2026-03 B,2026-03-10,26200.8037,26200,supported,
Windows 11,Windows 11,24H2,GA,General Availability Channel,"Enterprise, Education, IoT Enterprise, Enterprise multi-session",2024-10-01,,2027-10-12,"Enterprise, Education, IoT Enterprise, Enterprise multi-session",2027-10-12,,2026-03 B,2026-03-10,26100.8037,26100,supported,
Windows 11,Windows 11,23H2,GA,General Availability Channel,"Enterprise, Education, IoT Enterprise, Enterprise multi-session",2023-10-31,,2026-11-10,"Enterprise, Education, IoT Enterprise, Enterprise multi-session",2026-11-10,,2026-03 B,2026-03-10,22631.6783,22631,supported,Home/Pro already ended; enterprise-family support continues.
Windows 11,Windows 11 Enterprise LTSC 2024 / IoT Enterprise LTSC 2024,24H2,LTSC,Long-Term Servicing Channel (LTSC),"Enterprise LTSC 2024, IoT Enterprise LTSC 2024",2024-10-01,2029-10-09,2034-10-10,IoT Enterprise LTSC 2024 only,2029-10-09,2034-10-10,2026-03 B,2026-03-10,26100.8037,26100,supported,"Source text says 24H21, but lifecycle note clearly refers to Windows 11 Enterprise LTSC 2024 and IoT Enterprise LTSC 2024. Enterprise LTSC has no extended support beyond 2029-10-09."
