Release,Released,Active Support,Security Support,Extended Security Updates,Latest
11 26H1 (E),2026-02-10,2029-03-13,2029-03-13,Unavailable,10.0.28000
11 26H1 (W),2026-02-10,2028-03-14,2028-03-14,Unavailable,10.0.28000
11 25H2 (E),2025-09-30,2028-10-10,2028-10-10,Unavailable,10.0.26200
11 25H2 (W),2025-09-30,2027-10-12,2027-10-12,Unavailable,10.0.26200
11 24H2 IoT (LTS),2024-10-01,2029-10-09,2034-10-10,Unavailable,10.0.26100
11 24H2 (E) (LTS),2024-10-01,2029-10-09,2029-10-09,Unavailable,10.0.26100
11 24H2 (E),2024-10-01,2027-10-12,2027-10-12,Unavailable,10.0.26100
11 24H2 (W),2024-10-01,2026-10-13,2026-10-13,Unavailable,10.0.26100
11 23H2 (E),2023-10-31,2026-11-10,2026-11-10,Unavailable,10.0.22631
11 23H2 (W),2023-10-31,2025-11-11,2025-11-11,Unavailable,10.0.22631
10 22H2,2022-10-18,2025-10-14,2025-10-14,2028-10-10,10.0.19045
11 22H2 (E),2022-09-20,2025-10-14,2025-10-14,Unavailable,10.0.22621
11 22H2 (W),2022-09-20,2024-10-08,2024-10-08,Unavailable,10.0.22621
10 21H2 IoT (LTS),2021-11-16,2027-01-12,2032-01-13,Unavailable,10.0.19044
10 21H2 (E) (LTS),2021-11-16,2027-01-12,2027-01-12,Unavailable,10.0.19044
10 21H2 (E),2021-11-16,2024-06-11,2024-06-11,Unavailable,10.0.19044
10 21H2 (W),2021-11-16,2023-06-13,2023-06-13,Unavailable,10.0.19044
11 21H2 (E),2021-10-04,2024-10-08,2024-10-08,Unavailable,10.0.22000
11 21H2 (W),2021-10-04,2023-10-10,2023-10-10,Unavailable,10.0.22000
10 21H1,2021-05-18,2022-12-13,2022-12-13,Unavailable,10.0.19043
10 20H2 (E),2020-10-20,2023-05-09,2023-05-09,Unavailable,10.0.19042
10 20H2 (W),2020-10-20,2022-05-10,2022-05-10,Unavailable,10.0.19042
10 2004,2020-05-27,2021-12-14,2021-12-14,Unavailable,10.0.19041
10 1909 (E),2019-11-12,2022-05-10,2022-05-10,Unavailable,10.0.18363
10 1909 (W),2019-11-12,2021-05-11,2021-05-11,Unavailable,10.0.18363
10 1903,2019-05-21,2020-12-08,2020-12-08,Unavailable,10.0.18362
10 1809 (E) (LTS),2018-11-13,2024-01-09,2029-01-09,Unavailable,10.0.17763
10 1809 (E),2018-11-13,2021-05-11,2021-05-11,Unavailable,10.0.17763
10 1809 (W),2018-11-13,2020-11-10,2020-11-10,Unavailable,10.0.17763
10 1803 (E),2018-04-30,2020-05-11,2021-05-11,Unavailable,10.0.17134
10 1803 (W),2018-04-30,2019-11-12,2019-11-12,Unavailable,10.0.17134
10 1709 (E),2017-10-17,2020-10-13,2020-10-13,Unavailable,10.0.16299
10 1709 (W),2017-10-17,2019-04-09,2019-04-09,Unavailable,10.0.16299
10 1703 (E),2017-04-11,2019-10-08,2019-10-08,Unavailable,10.0.15063
