ProductId,Platform,IndicatorType,IndicatorValue,MatchType,ActivityRole,PathPattern,CompanyPattern,Enabled,Confidence,SourceURL,LastVerified,Notes
microsoft-remote-help,Windows,SoftwareName,Remote Help,contains,Installation,,,true,VendorProduct,https://learn.microsoft.com/en-us/intune/remote-help/deploy,2026-09-15,
microsoft-remote-help,Windows,ProcessName,RemoteHelp.exe,equals,Interactive,,,true,VendorVerified,https://learn.microsoft.com/en-us/intune/remote-help/deploy,2026-09-15,
microsoft-remote-help,Windows,ProcessName,RemoteHelpRDP.exe,equals,SessionComponent,,,true,VendorVerified,https://learn.microsoft.com/en-us/intune/remote-help/deploy,2026-09-15,
microsoft-remote-help,Windows,ProcessName,RHService.exe,equals,Service,,,true,VendorVerified,https://learn.microsoft.com/en-us/intune/remote-help/deploy,2026-09-15,
microsoft-quick-assist,Windows,SoftwareName,Quick Assist,contains,Installation,,,true,VendorProduct,https://learn.microsoft.com/en-us/windows/client-management/client-tools/quick-assist,2026-09-15,
microsoft-quick-assist,Windows,ProcessName,QuickAssist.exe,equals,Interactive,,,true,VendorProduct,https://learn.microsoft.com/en-us/windows/client-management/client-tools/quick-assist,2026-09-15,Executable name is stable/observed but not enumerated on all current Quick Assist documentation pages.
anydesk,Windows,SoftwareName,AnyDesk,contains,Installation,,,true,VendorProduct,https://support.anydesk.com/command-line-interface-for-windows,2026-09-15,
anydesk,Windows,ProcessName,AnyDesk.exe,equals,Interactive,,,true,VendorVerified,https://support.anydesk.com/command-line-interface-for-windows,2026-09-15,
anydesk,Windows,ProcessName,AnyDesk-,startswith,Interactive,,,true,VendorVerified,https://support.anydesk.com/command-line-interface-for-windows,2026-09-15,Custom AnyDesk clients can use a prefixed executable name.
teamviewer-quicksupport,Windows,SoftwareName,TeamViewer QuickSupport,contains,Installation,,,true,VendorProduct,https://www.teamviewer.com/en/global/support/knowledge-base/teamviewer-classic/modules/quicksupport/,2026-09-15,
teamviewer-quicksupport,Windows,ProcessName,TeamViewerQS.exe,equals,Interactive,,,true,VendorCommunity,https://community.teamviewer.com/,2026-09-15,
teamviewer-remote,Windows,SoftwareName,TeamViewer,equals,Installation,,,true,VendorProduct,https://www.teamviewer.com/en/products/remote/,2026-09-15,
teamviewer-remote,Windows,SoftwareName,TeamViewer Host,contains,Installation,,,true,VendorProduct,https://www.teamviewer.com/en/products/remote/,2026-09-15,
teamviewer-remote,Windows,SoftwareName,TeamViewer Remote,contains,Installation,,,true,VendorProduct,https://www.teamviewer.com/en/products/remote/,2026-09-15,
teamviewer-remote,Windows,ProcessName,TeamViewer.exe,equals,Interactive,,,true,VendorProduct,https://www.teamviewer.com/en/products/remote/,2026-09-15,
teamviewer-remote,Windows,ProcessName,TeamViewer_Service.exe,equals,Service,,,true,VendorCommunity,https://community.teamviewer.com/English/discussion/108431/teamviewer-service-exe,2026-09-15,
teamviewer-remote,Windows,ProcessName,TeamViewer_Desktop.exe,equals,SessionComponent,,,true,VendorCommunity,https://community.teamviewer.com/,2026-09-15,
connectwise-screenconnect,Windows,SoftwareName,ScreenConnect,contains,Installation,,,true,VendorProduct,https://docs.connectwise.com/ConnectWise_ScreenConnect_Documentation,2026-09-15,
connectwise-screenconnect,Windows,SoftwareName,ConnectWise Control,contains,Installation,,,true,VendorProduct,https://docs.connectwise.com/ConnectWise_ScreenConnect_Documentation,2026-09-15,Legacy product name.
connectwise-screenconnect,Windows,ProcessName,ScreenConnect.ClientService.exe,equals,Service,,,true,VendorVerified,https://docs.connectwise.com/ConnectWise_ScreenConnect_Documentation,2026-09-15,
connectwise-screenconnect,Windows,ProcessName,ScreenConnect.Client.exe,equals,Interactive,,,true,VendorVerified,https://docs.connectwise.com/ConnectWise_ScreenConnect_Documentation,2026-09-15,
connectwise-screenconnect,Windows,ProcessName,ScreenConnect.WindowsClient.exe,equals,Interactive,,,false,Supplemental,https://raw.githubusercontent.com/Action1Corp/Remote-Agent-Catalog/main/rmm.csv,2026-09-15,Supplemental legacy/community coverage; validate before enabling.
connectwise-automate,Windows,SoftwareName,ConnectWise Automate,contains,Installation,,,true,VendorProduct,https://docs.connectwise.com/ConnectWise_Automate_Documentation/060/020/020/020,2026-09-15,
connectwise-automate,Windows,SoftwareName,LabTech,contains,Installation,,,true,VendorProduct,https://docs.connectwise.com/ConnectWise_Automate_Documentation/060/020/020/020,2026-09-15,Legacy name.
connectwise-automate,Windows,ProcessName,LTSvc.exe,equals,Service,,,true,VendorVerified,https://docs.connectwise.com/ConnectWise_Automate_Documentation/020/010/070/010,2026-09-15,
connectwise-automate,Windows,ProcessName,LTSvcMon.exe,equals,Service,,,true,VendorVerified,https://docs.connectwise.com/ConnectWise_Automate_Documentation/020/010/070/010,2026-09-15,
connectwise-automate,Windows,ProcessName,LTTray.exe,equals,Agent,,,true,VendorVerified,https://docs.connectwise.com/ConnectWise_Automate_Documentation/020/010/070/010,2026-09-15,
beyondtrust-remote-support,Windows,SoftwareName,BeyondTrust Remote Support,contains,Installation,,,true,VendorProduct,https://www.beyondtrust.com/docs/remote-support/getting-started/admin/jump-clients.htm,2026-09-15,
beyondtrust-remote-support,Windows,SoftwareName,Bomgar,contains,Installation,,,true,VendorProduct,https://www.beyondtrust.com/docs/remote-support/getting-started/admin/jump-clients.htm,2026-09-15,Legacy brand.
beyondtrust-remote-support,Windows,ProcessName,bomgar-scc.exe,equals,Agent,,,true,VendorVerified,https://www.beyondtrust.com/docs/remote-support/getting-started/admin/jump-clients.htm,2026-09-15,
beyondtrust-remote-support,Windows,ProcessName,bomgar-rep.exe,equals,TechnicianConsole,,,true,VendorVerified,https://www.beyondtrust.com/docs/remote-support/getting-started/rep-console/desktop/index.htm,2026-09-15,
beyondtrust-remote-support,Windows,ProcessName,bomgar-pac.exe,equals,SessionComponent,,,true,VendorVerified,https://www.beyondtrust.com/docs/remote-support/getting-started/network/ports-firewalls.htm,2026-09-15,
beyondtrust-remote-support,Windows,ProcessName,bomgar-pec.exe,equals,SessionComponent,,,true,VendorVerified,https://www.beyondtrust.com/docs/remote-support/getting-started/network/ports-firewalls.htm,2026-09-15,
splashtop-sos,Windows,SoftwareName,Splashtop SOS,contains,Installation,,,true,VendorProduct,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
splashtop-sos,Windows,ProcessName,SRAgentSOS.exe,equals,SessionComponent,,,true,VendorVerified,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
splashtop-sos,Windows,ProcessName,SRAppPBSOS.exe,equals,SessionComponent,,,true,VendorVerified,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
splashtop-sos,Windows,ProcessName,SRAppSOS.exe,equals,SessionComponent,,,true,VendorVerified,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
splashtop-sos,Windows,ProcessName,SRAudioChatSOS.exe,equals,SessionComponent,,,true,VendorVerified,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
splashtop-sos,Windows,ProcessName,SRChatSOS.exe,equals,SessionComponent,,,true,VendorVerified,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
splashtop-sos,Windows,ProcessName,SRFeatMiniSOS.exe,equals,SessionComponent,,,true,VendorVerified,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
splashtop-sos,Windows,ProcessName,SRFeatureSOS.exe,equals,SessionComponent,,,true,VendorVerified,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
splashtop-sos,Windows,ProcessName,SRFeatureSOSNoUIA.exe,equals,SessionComponent,,,true,VendorVerified,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
splashtop-sos,Windows,ProcessName,SRManagerSOS.exe,equals,SessionComponent,,,true,VendorVerified,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
splashtop-sos,Windows,ProcessName,SRServerSOS.exe,equals,SessionComponent,,,true,VendorVerified,https://support-splashtopbusiness.splashtop.com/hc/en-us/articles/51759917608731-What-Antivirus-EDR-and-Firewall-Exceptions-Are-Required-for-Splashtop-SOS,2026-09-15,
