ProductId,Vendor,Product,Type,OfficialURL,LastVerified,Notes
microsoft-remote-help,Microsoft,Microsoft Remote Help,Managed Remote Assistance,https://learn.microsoft.com/en-us/intune/remote-help/,2026-09-15,Enterprise Intune remote assistance.
microsoft-quick-assist,Microsoft,Microsoft Quick Assist,Built-in Remote Assistance,https://learn.microsoft.com/en-us/windows/client-management/client-tools/quick-assist,2026-09-15,Windows Quick Assist application.
anydesk,AnyDesk Software GmbH,AnyDesk,Remote Access,https://support.anydesk.com/,2026-09-15,Remote desktop and unattended access.
teamviewer-remote,TeamViewer,TeamViewer Remote,Remote Access,https://www.teamviewer.com/en/products/remote/,2026-09-15,Full client / Host family.
teamviewer-quicksupport,TeamViewer,TeamViewer QuickSupport,Managed Remote Assistance,https://www.teamviewer.com/en/global/support/knowledge-base/teamviewer-classic/modules/quicksupport/,2026-09-15,Portable attended-support module.
connectwise-screenconnect,ConnectWise,ConnectWise ScreenConnect,RMM,https://docs.connectwise.com/ConnectWise_ScreenConnect_Documentation,2026-09-15,Remote support / unattended access.
connectwise-automate,ConnectWise,ConnectWise Automate,RMM,https://docs.connectwise.com/ConnectWise_Automate_Documentation,2026-09-15,RMM agent platform; legacy LabTech naming retained as alias.
beyondtrust-remote-support,BeyondTrust,BeyondTrust Remote Support,Managed Remote Assistance,https://www.beyondtrust.com/docs/remote-support/,2026-09-15,Formerly Bomgar Remote Support.
splashtop-sos,Splashtop,Splashtop SOS,Managed Remote Assistance,https://support-splashtopbusiness.splashtop.com/,2026-09-15,Attended / on-demand support.
splashtop-streamer,Splashtop,Splashtop Streamer,Remote Access,https://support-splashtopbusiness.splashtop.com/,2026-09-15,Unattended endpoint component.
rustdesk,RustDesk,RustDesk,Remote Access,https://rustdesk.com/docs/en/client/,2026-09-15,Open-source remote desktop client.
realvnc-connect,RealVNC,RealVNC Connect,Remote Access,https://help.realvnc.com/,2026-09-15,VNC Server / Viewer family; current and legacy server executable names included.
tightvnc,GlavSoft,TightVNC,Remote Access,https://www.tightvnc.com/,2026-09-15,VNC server and viewer.
ultravnc,UltraVNC,UltraVNC,Remote Access,https://uvnc.com/,2026-09-15,VNC server/viewer; vendor forum is primary executable evidence source.
remote-utilities,Remote Utilities,Remote Utilities,Remote Access,https://www.remoteutilities.com/support/docs/,2026-09-15,Host / Viewer remote administration.
radmin,Famatech,Radmin,Remote Access,https://www.radmin.com/,2026-09-15,Remote administration server/viewer.
supremo,Nanosystems,Supremo,Remote Access,https://www.supremocontrol.com/,2026-09-15,Portable remote desktop with unattended service.
