Port,Service,RiskCategory,Comment
20,FTP-Data,File Transfer,
21,FTP,File Transfer,
22,SSH,Remote Administration,
23,Telnet,Remote Administration,
25,SMTP,Mail,
53,DNS,Infrastructure,
69,TFTP,File Transfer,
80,HTTP,Web,
110,POP3,Mail,
111,RPCBind,RPC,
135,MS-RPC,Windows RPC,
137,NetBIOS-NS,Windows Networking,
138,NetBIOS-DGM,Windows Networking,
139,NetBIOS-SSN,Windows Networking,
143,IMAP,Mail,
389,LDAP,Directory Services,
443,HTTPS,Web,
445,SMB,Windows File Sharing,
465,SMTPS,Mail,
587,SMTP-Submission,Mail,
636,LDAPS,Directory Services,
993,IMAPS,Mail,
995,POP3S,Mail,
1433,MSSQL,Database,
1521,Oracle,Database,
2049,NFS,File Sharing,
2222,SSH-Alternate,Remote Administration,
2375,Docker API,Container Management,
2376,Docker API TLS,Container Management,
3306,MySQL,Database,
3389,RDP,Remote Administration,
5432,PostgreSQL,Database,
5601,Kibana,Management Console,
5900,VNC,Remote Administration,
5985,WinRM HTTP,Remote Administration,
5986,WinRM HTTPS,Remote Administration,
6379,Redis,Database,
8080,HTTP-Alternate,Web,
8081,HTTP-Alternate,Web,
8443,HTTPS-Alternate,Web,
9200,Elasticsearch,Database/Search,
9300,Elasticsearch-Transport,Database/Search,
11211,Memcached,Cache,
27017,MongoDB,Database,
27018,MongoDB,Database,
27019,MongoDB,Database,
